gate,min_p_touch,min_p_direction,distance_low,distance_high,target_fraction,stop_atr_mult,max_hold_bars,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,long_n,short_n,long_mean_r,short_mean_r,long_pf,short_pf,sectors_with_min_trades,top_sector,top_sector_trades,morning_mean_r,midday_mean_r,afternoon_mean_r,closing_mean_r,first_half_mean_r,second_half_mean_r,temporal_gap_r,temporal_stable,avg_bars_held,target_exit_rate,stop_exit_rate,time_exit_rate,mean_p_touch,mean_p_direction,mean_q,passes_min_filters
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,1.0,2.0,36,all,1.0,600,0.53,0.18826504008543407,0.07435281836502902,112.95902405126044,1.4327970927841776,-42.81921407167371,0.1503225902755711,0.0,0.09791491386902788,0.0075647876526217135,541,59,0.2693963164169956,-0.5556675106836291,1.6881095554738865,0.33358341803508607,5,PHARMA,214,0.412756737303258,0.821593426801378,-7.503003188806754e-05,,0.3031997881335471,0.09359234488470879,0.2096074432488383,False,17.911666666666665,0.24,0.25666666666666665,0.5033333333333333,0.8036857999281303,0.8385810009616298,0.43006216601770625,True
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,1.0,2.0,36,top_50pct,0.5,300,0.5566666666666666,0.25012668098306207,0.17651220264941772,75.03800429491862,1.5932995082113024,-20.36227179799266,0.19647554853873803,0.0,0.15883807122847643,0.06754946147389077,272,28,0.3320783663130027,-0.5459754050792186,1.8611078641033547,0.2916456515579671,3,PHARMA,137,0.4786093625468416,1.0289814153364822,0.017655934342357873,,0.3683656825573375,0.1645053350154833,0.20386034754185417,False,17.256666666666668,0.27666666666666667,0.25333333333333335,0.47,0.8014209136463712,0.8303279922911365,0.44202339279638314,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,1.0,2.0,36,top_25pct,0.25,150,0.6133333333333333,0.42364291122112935,0.4421553923755054,63.546436683169404,2.128608719861343,-15.022040847734772,0.32134867577508225,1.6564049882150349e-251,0.3261376163833409,0.2286323215455523,133,17,0.5445535269523719,-0.5223048471468265,2.679554194195348,0.326476348236079,3,PHARMA,57,0.814866836602171,1.2658996260685906,0.08005385169728223,,0.6248648660600615,0.22242095638219722,0.4024439096778643,False,17.5,0.31333333333333335,0.21333333333333335,0.47333333333333333,0.7995119867025238,0.825978809305041,0.4513140249637676,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,1.0,2.0,36,top_10pct,0.1,60,0.5833333333333334,0.22405206325474888,0.20286600629486867,13.443123795284933,1.574288968019232,-13.665977927607972,0.18863896249957823,2.3953300462465562e-111,0.11861504069244622,0.013178018130143599,45,15,0.46976522150108646,-0.5130874114842635,2.853038492265892,0.3586571479897077,1,IT,31,0.838458951448666,-0.5957528057323693,0.029030623418357555,,0.7891410881189688,-0.23829350254324913,1.027434590662218,False,16.75,0.3,0.2,0.5,0.7900904112363224,0.7930120422021661,0.4562426942613812,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,1.0,2.0,36,top_5pct,0.05,30,0.4666666666666667,0.032850192706997426,-0.09816280428683713,0.9855057812099228,1.0682001766759293,-11.013901094299742,0.02753916567830284,1.8775571357153673e-61,-0.0707238465825544,-0.17429788587210632,20,10,0.5616818376670575,-1.0248130972131226,3.9462025830563436,0.03658290057567211,0,IT,24,0.9947122549474539,-0.5957528057323693,-0.4316728420444377,,0.4230715648147189,-0.35737117940072405,0.7804427442154429,False,17.166666666666668,0.3333333333333333,0.26666666666666666,0.4,0.7869177329163558,0.7784749348700406,0.4607435562161301,False
T>=0.75|D>=0.65|3-8ATR,0.75,0.65,3.0,8.0,1.0,2.0,36,all,1.0,570,0.5473684210526316,0.21919209285049698,0.08914886807965938,124.93949292478328,1.5128580488383132,-40.434532545763915,0.17347110568792373,0.0,0.1309947047498579,0.04279731664921878,526,44,0.2826208738108176,-0.539070152266062,1.7265984512673016,0.39211360633457965,5,PHARMA,210,0.41304931305386283,0.8935494815582993,0.038074862148271764,,0.3072670699226501,0.14103284167388436,0.16623422824876577,False,18.014035087719297,0.24561403508771928,0.2631578947368421,0.49122807017543857,0.8041783307634037,0.8493957415955707,0.43016622017119144,False
T>=0.75|D>=0.65|3-8ATR,0.75,0.65,3.0,8.0,1.0,2.0,36,top_50pct,0.5,285,0.5859649122807018,0.28993468819547763,0.26659340630342593,82.63138613571113,1.7022403441934548,-20.36227179799266,0.22541501936195785,0.0,0.20158279563902742,0.11323090308257724,265,20,0.33996175921217126,-0.3729240027757127,1.8756898152300543,0.4956908424297317,3,PHARMA,135,0.47496086937331244,1.1920832489434174,0.060725903510057,,0.37734694439430366,0.22164386304014486,0.1557030813541588,False,17.347368421052632,0.28421052631578947,0.2631578947368421,0.45263157894736844,0.8028195964508276,0.8429708279402351,0.44185201906313687,False
T>=0.75|D>=0.65|3-8ATR,0.75,0.65,3.0,8.0,1.0,2.0,36,top_25pct,0.25,143,0.6363636363636364,0.46616835081228203,0.4511011840671588,66.66207416615633,2.2744524446422654,-13.038998553352783,0.3509788981639711,1.2567743289308154e-229,0.37220595164475895,0.2782435524772358,134,9,0.5295141493295686,-0.4769802048895407,2.591179049979947,0.44348729893862604,2,PHARMA,58,0.7971287342637849,1.5821826870067097,0.10861202023528836,,0.7118821828456307,0.2238672108905078,0.4880149719551229,False,17.692307692307693,0.32167832167832167,0.22377622377622378,0.45454545454545453,0.8004929352674127,0.8392117792584802,0.45108268802998036,False
T>=0.75|D>=0.65|3-8ATR,0.75,0.65,3.0,8.0,1.0,2.0,36,top_10pct,0.1,57,0.6666666666666666,0.424765138114828,0.389142310909741,24.211612872545196,2.2292761961971426,-10.959750088959126,0.3367596412911991,4.372359533890939e-90,0.3263380605135658,0.22791098291230358,48,9,0.5938423899281471,-0.4769802048895407,3.3789302716035716,0.44348729893862604,0,IT,26,0.7156581066264391,1.6439990596836684,0.19225480759039806,,0.8551581268098688,0.037411448289291306,0.8177466785205775,False,17.403508771929825,0.3508771929824561,0.21052631578947367,0.43859649122807015,0.7932249003975412,0.8188027183597788,0.45614543783401224,False
T>=0.75|D>=0.65|3-8ATR,0.75,0.65,3.0,8.0,1.0,2.0,36,top_5pct,0.05,29,0.6206896551724138,0.28751685618324935,0.3439645469301687,8.33798882931423,1.7683643067290342,-7.958308250636394,0.23544774520784412,9.736101416322794e-50,0.19269500052551383,0.09787314486777836,22,7,0.7119380019753149,-1.0463781734489568,5.991567375820967,0.050447618468964596,0,IT,23,1.0393213558600736,0.389142310909741,-0.20492284682684234,,0.6354496773917225,-0.20538797386208774,0.8408376512538103,False,16.75862068965517,0.41379310344827586,0.2413793103448276,0.3448275862068966,0.7908468532182852,0.8094842564033451,0.4608547264443648,False
