fill_policy,mode,cohort,fraction,trade_n,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,mean_net_pnl,total_net_pnl,mean_q,min_q,actual_strict_rate
conservative,reclaim_confirmed,top_5pct,0.05,411,0.17518248175182483,-1.302703353657404,-1.7749849042810977,-535.411078353193,0.11544187186215299,-535.280710382039,-6.887044804890369,-2830.575414809942,0.4580829348570161,0.3857031617301363,0.8165374677002584
conservative,reclaim_confirmed,top_1pct,0.01,70,0.21428571428571427,-1.201023656781055,-1.81800547029674,-84.07165597467386,0.12123186717623102,-82.14315802509626,-10.567890822602912,-739.7523575822039,0.4834826895916234,0.3857031617301363,0.8307692307692308
conservative,touch_confirmed,all,1.0,19107,0.35746061652797406,-0.7086577065848239,-1.3258462611192487,-13540.322799716228,0.19952763592401127,-13542.202673789005,-6.867489561035122,-131217.12304269808,0.42866467226967137,0.25,0.485082504583588
conservative,touch_confirmed,top_25pct,0.25,4834,0.3564335953661564,-0.6990169621427628,-1.2999719837647774,-3379.047994998115,0.19413802832369556,-3379.655884093042,-5.257353795520325,-25414.04824754525,0.44835427211934153,0.3568631773120406,0.5159667541557306
conservative,touch_confirmed,top_10pct,0.1,1858,0.3611410118406889,-0.6780981308272178,-1.285207707127951,-1259.9063270769707,0.19934683350479243,-1262.2598797305739,-3.962060366929819,-7361.508161755604,0.453796094226839,0.3600518643006867,0.5294117647058824
conservative,touch_confirmed,top_5pct,0.05,915,0.39344262295081966,-0.5926797289913631,-1.2060592283358882,-542.3019520270973,0.23391987821329294,-544.7460837709574,-4.215654010755162,-3857.3234198409727,0.4588202291425996,0.372354990731985,0.5611175785797439
conservative,touch_confirmed,top_1pct,0.01,187,0.34759358288770054,-0.7056054587371957,-1.3334307846114553,-131.9482207838556,0.21445547812898924,-134.09029654475253,-7.244535237167991,-1354.7280893504144,0.4822015090166361,0.3838605967078189,0.5174418604651163
generous,blind_limit,all,1.0,24145,0.22364878856906192,-1.1352872706004957,-1.632246563842337,-27411.51114864897,0.10860927861977167,-27411.43338019148,-10.563339800585904,-255051.83948514666,0.42898462414166116,0.25,0.4285901067770756
generous,blind_limit,top_25pct,0.25,6291,0.23064695596884438,-1.096254456789438,-1.5961125846777882,-6896.536787662354,0.11790109517654995,-6895.232960357853,-7.547985517403933,-47484.37688998814,0.44838672161342025,0.3568631773120406,0.45177411294352826
generous,blind_limit,top_10pct,0.1,2490,0.2433734939759036,-1.0472540877528955,-1.5579198797270406,-2607.66267850471,0.12958010734242192,-2608.2963591212883,-5.816148132544198,-14482.208850035053,0.4536345340221509,0.3600518643006867,0.45868465430016864
generous,blind_limit,top_5pct,0.05,1213,0.2662819455894477,-0.9617087988192803,-1.4794657449093649,-1166.552772967787,0.15484210697725953,-1164.832552438318,-6.507018011711159,-7893.012848205635,0.45837356440910415,0.3838605967078189,0.4917463075586447
generous,blind_limit,top_1pct,0.01,231,0.22510822510822512,-1.183653725374836,-1.659099407879658,-273.4240105615871,0.09291210879838423,-273.84437131295005,-12.806124810168406,-2958.214831148902,0.4819456549876532,0.3838605967078189,0.4719626168224299
generous,displacement_confirmed,all,1.0,7730,0.3728331177231565,-0.6770912245033036,-1.3181031713586826,-5233.915165410537,0.23239039772895903,-5233.989644305646,-6.881868129739139,-53196.840642883544,0.4280605296180912,0.25,0.5924682528098087
generous,displacement_confirmed,top_25pct,0.25,1871,0.39070016034206306,-0.6538227899668658,-1.2869828794810214,-1223.302440028006,0.23689378651236456,-1223.7120025087784,-5.063690339440816,-9474.164625093767,0.44844616570551726,0.3600518643006867,0.6260554885404102
generous,displacement_confirmed,top_10pct,0.1,689,0.39477503628447025,-0.63115173737028,-1.27437762098616,-434.8635470481229,0.25392716557914213,-435.0154141549436,-4.065363536233425,-2801.03547646483,0.45450312368017226,0.3600518643006867,0.6354679802955665
generous,displacement_confirmed,top_5pct,0.05,317,0.4605678233438486,-0.47943480961742085,-0.7024429563073388,-151.9808346487224,0.3520690438362072,-152.69284470705318,-4.366127080410324,-1384.062284490073,0.46112001177882855,0.3857031617301363,0.6788321167883211
generous,displacement_confirmed,top_1pct,0.01,86,0.38372093023255816,-0.6529167710367393,-1.2769169588909153,-56.15084230915958,0.2721968391328559,-56.90867774011863,-9.684317170544126,-832.8512766667949,0.4842223655826775,0.3857031617301363,0.6216216216216216
generous,reclaim_confirmed,all,1.0,7683,0.14707796433684758,-1.4199786154077791,-1.8328551942102744,-10909.695702177967,0.07259223079515789,-10907.68521234582,-12.91245415172541,-99206.38524770632,0.42954864766031325,0.2941391672467585,0.7944528353700399
