label,n,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,kind,actual_vs_shuffle_p_value
shuffled_direction_218,434,0.5092165898617511,0.20311956814522347,0.20333038346305696,1.428364670714443,-36.6620610912109,0.1549889830331427,0.0,shuffled_direction_null,0.0
shuffled_direction_219,434,0.5046082949308756,0.20253968127958152,0.10248709771727962,1.4139994830656781,-34.73425000304892,0.1509690334568219,0.0,shuffled_direction_null,0.0
shuffled_direction_220,434,0.5345622119815668,0.2769308277033724,0.42869539944297474,1.6054663184396873,-28.302266040600383,0.20621847378484645,0.0,shuffled_direction_null,0.0
shuffled_direction_221,434,0.511520737327189,0.21197105593428037,0.20370433973843166,1.4501173656302624,-29.534529244826388,0.1615802180476941,0.0,shuffled_direction_null,0.0
shuffled_direction_222,434,0.5414746543778802,0.2867108144457985,0.43988371785104197,1.6377523126062525,-33.74830474947922,0.21531018761734583,0.0,shuffled_direction_null,0.0
shuffled_direction_223,434,0.5299539170506913,0.22621890310236076,0.42869539944297474,1.4875122019747644,-30.366146334400977,0.17360534643143252,0.0,shuffled_direction_null,0.0
shuffled_direction_224,434,0.5207373271889401,0.21751490722479727,0.272335302043731,1.4632101165519202,-33.51539811617917,0.1665739653518311,0.0,shuffled_direction_null,0.0
shuffled_direction_225,434,0.5069124423963134,0.18930253621335602,0.20252779872675553,1.3906104267411699,-35.114780201165445,0.1440742608379304,0.0,shuffled_direction_null,0.0
shuffled_direction_226,434,0.5299539170506913,0.2353518493438615,0.42572611886910894,1.5109271491991147,-35.14383380327964,0.17972426832334418,0.0,shuffled_direction_null,0.0
shuffled_direction_227,434,0.511520737327189,0.2155369072334824,0.20333038346305696,1.4522082374545593,-40.92999943712157,0.16292463252547756,0.0,shuffled_direction_null,0.0
shuffled_direction_228,434,0.5253456221198156,0.22432179701813038,0.42572611886910894,1.482850502283559,-36.18672687870343,0.17224160626226412,0.0,shuffled_direction_null,0.0
