label,n,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,scenario,path_id,validation_blocks,n_blocks,validation_blocks_per_path,path_pass
long_ex_banking_it,86,0.5116279069767442,0.35593860309072406,0.4231111650768441,2.0084274776328406,-16.712877376701286,0.2940272983449951,8.156338397304937e-166,long_ex_banking_it,16,1+8,10,2,True
long_ex_banking_it,86,0.5697674418604651,0.7883262807705612,1.0720475637976878,3.927900737389547,-16.712877376701286,0.5742349886160303,1.3371692940977197e-128,long_ex_banking_it,17,1+9,10,2,True
long_ex_banking_it,87,0.8390804597701149,0.8551979263190502,0.7487800277399609,6.336407905043734,-6.666332641135297,0.7749305869101053,7.391492338661908e-74,long_ex_banking_it,18,2+3,10,2,True
long_ex_banking_it,87,0.6091954022988506,0.4846641522337267,0.6543022129502244,2.60155843458412,-6.975358891811794,0.39522352301444175,4.503343627366527e-145,long_ex_banking_it,19,2+4,10,2,True
long_ex_banking_it,88,0.5454545454545454,0.1700577641814274,0.4437109202522065,1.3805661538882528,-24.35360350468187,0.13616237714202178,1.2779555241737936e-177,long_ex_banking_it,20,2+5,10,2,True
long_ex_banking_it,87,0.632183908045977,0.3391103160169859,0.4945912936466317,1.886530297978169,-14.149258076837691,0.26656209799634134,4.685634570313065e-159,long_ex_banking_it,21,2+6,10,2,True
long_ex_banking_it,88,0.5681818181818182,0.17279636358215053,0.49923343526206626,1.3532035842076595,-19.511587288766258,0.13207634796629697,5.152512244424124e-181,long_ex_banking_it,22,2+7,10,2,True
long_ex_banking_it,87,0.7241379310344828,0.5925169722687013,0.6544257126569392,3.1621852795945404,-6.666332641135297,0.48501554133581914,6.330221071815373e-123,long_ex_banking_it,23,2+8,10,2,True
long_ex_banking_it,87,0.7816091954022989,1.0199346766418735,1.0637480707048923,6.332136358040618,-6.666332641135297,0.7812666528713628,4.131288873352392e-80,long_ex_banking_it,24,2+9,10,2,True
long_ex_banking_it,86,0.7209302325581395,0.7479868490805242,0.7492489531541628,4.938235775527105,-6.975358891811794,0.6771190603336443,1.7702144776677905e-88,long_ex_banking_it,25,3+4,10,2,True
long_ex_banking_it,87,0.6551724137931034,0.42673759798340755,0.7453483270948964,2.2658444842458634,-24.35360350468185,0.3546969847829793,9.149855812707332e-133,long_ex_banking_it,26,3+5,10,2,True
long_ex_banking_it,86,0.7441860465116279,0.6007405263961466,0.7488538767499049,3.218783892470944,-14.149258076837697,0.505126127843483,6.799731487122928e-106,long_ex_banking_it,27,3+6,10,2,True
long_ex_banking_it,87,0.6781609195402298,0.429507675538162,0.6704373038278872,2.130357009070955,-19.51158728876626,0.3395960826266673,4.637035766168715e-142,long_ex_banking_it,28,3+7,10,2,True
long_ex_banking_it,86,0.8372093023255814,0.8570937716740447,0.7493089890943812,6.3231378670458085,-6.391035071751958,0.7990835204183923,1.9195666900051703e-65,long_ex_banking_it,29,3+8,10,2,True
long_ex_banking_it,86,0.8953488372093024,1.2894814493538818,1.3076133657044127,17.682572330823877,-4.673210536390243,1.2124132948442647,1.1656726775469352e-36,long_ex_banking_it,30,3+9,10,2,True
long_ex_banking_it,87,0.42528735632183906,0.056203823898083975,-0.36406168604841216,1.1172182779496664,-31.328962396493672,0.047295558454989874,1.3247038115073272e-182,long_ex_banking_it,31,4+5,10,2,True
long_ex_banking_it,86,0.5116279069767442,0.22589822005401697,0.15570224574449698,1.5446340482764307,-21.124616968649487,0.18389051620331934,8.641122572878723e-168,long_ex_banking_it,32,4+6,10,2,True
long_ex_banking_it,87,0.4482758620689655,0.05897390145283836,-0.36567514284364416,1.1129036407270598,-24.894471242592925,0.047120083742707,4.767459284042126e-184,long_ex_banking_it,33,4+7,10,2,True
