scenario,description,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,long_n,short_n,sectors_with_30_trades,top_sector,top_sector_trades,morning_trades,midday_trades,afternoon_trades,target_exit_rate,stop_exit_rate,time_exit_rate,focused_survives,strict_ready
ex_banking_it,Exclude BANKING and IT,top_25pct,0.25,114,0.6403508771929824,0.5715050975688353,0.7490002655048381,2.4721920345467874,-11.469090467705769,0.4014973884319427,4.2336035893829507e-181,0.4768708706644544,0.3822366437600734,56,58,0.7315298281888992,0.416998461108084,0.31453136708081525,109,5,2,PHARMA,58,44,8,62,0.32456140350877194,0.23684210526315788,0.43859649122807015,False,False
auto_pharma_fmcg,AUTO + PHARMA + FMCG,top_25pct,0.25,114,0.6403508771929824,0.5715050975688353,0.7490002655048381,2.4721920345467874,-11.469090467705769,0.4014973884319427,4.2336035893829507e-181,0.4768708706644544,0.3822366437600734,56,58,0.7315298281888992,0.416998461108084,0.31453136708081525,109,5,2,PHARMA,58,44,8,62,0.32456140350877194,0.23684210526315788,0.43859649122807015,False,False
long_morning,Long-only morning,top_50pct,0.5,105,0.580952380952381,0.5705158150336831,0.9200828871265618,2.463303968251276,-13.942653229167313,0.40405097914234983,3.326973110913215e-169,0.49966402614652256,0.4288122372593621,31,74,1.1195755831859875,0.3405042905374474,0.7790712926485401,105,0,1,PHARMA,57,105,0,0,0.41904761904761906,0.2761904761904762,0.3047619047619048,False,False
long_ex_banking_it,"Long-only, exclude BANKING and IT",top_25pct,0.25,110,0.6363636363636364,0.5625143252610281,0.7477639655172337,2.4187006257685297,-11.910279219103241,0.39134011198631047,4.7088971229875257e-178,0.46956018844164216,0.37660605162225624,53,57,0.743440085219597,0.39428510986095494,0.3491549753586421,110,0,2,PHARMA,58,44,8,58,0.32727272727272727,0.24545454545454545,0.42727272727272725,False,False
long_auto_pharma_fmcg,Long-only AUTO + PHARMA + FMCG,top_25pct,0.25,110,0.6363636363636364,0.5625143252610281,0.7477639655172337,2.4187006257685297,-11.910279219103241,0.39134011198631047,4.7088971229875257e-178,0.46956018844164216,0.37660605162225624,53,57,0.743440085219597,0.39428510986095494,0.3491549753586421,110,0,2,PHARMA,58,44,8,58,0.32727272727272727,0.24545454545454545,0.42727272727272725,False,False
long_only,Only pool-side UP/long trades,top_25pct,0.25,136,0.6397058823529411,0.5487830710664384,0.701649668636258,2.510285592585655,-11.469090467705769,0.40032669133768395,2.2512693293206907e-219,0.45566631771951976,0.3625495643726011,69,67,0.7568877877629568,0.3344662732745015,0.42242151448845533,136,0,2,PHARMA,58,55,8,73,0.35294117647058826,0.21323529411764705,0.4338235294117647,False,False
morning_only,Entries in morning window only,top_50pct,0.5,109,0.5688073394495413,0.5246381230302541,0.8451368860622449,2.2787479466249287,-13.942653229167313,0.3697246867776022,3.396920491830082e-183,0.4533256141943829,0.3820131053585116,32,77,1.1178309734209535,0.27811641897178185,0.8397145544491716,107,2,1,PHARMA,58,109,0,0,0.41284403669724773,0.29357798165137616,0.29357798165137616,False,False
long_only,Only pool-side UP/long trades,top_10pct,0.1,55,0.6545454545454545,0.5139381310964661,0.7517100450699357,2.6069521358036107,-5.361135780250516,0.40118221594764486,3.926820171122919e-92,0.4189880650716286,0.32403799904679126,30,25,0.6815781388097626,0.31277012184051034,0.36880801696925225,55,0,0,PHARMA,25,17,2,36,0.4,0.16363636363636364,0.43636363636363634,False,False
ex_banking_it,Exclude BANKING and IT,top_5pct,0.05,23,0.6521739130434783,0.43943000639854146,0.871655167358136,2.4007451163139457,-2.7291118984153333,0.3884833796182284,2.468683720834362e-34,0.3278146635183742,0.2161993206382071,10,13,0.5475470344130262,0.3562630617720145,0.1912839726410117,18,5,0,PHARMA,13,4,0,19,0.2608695652173913,0.13043478260869565,0.6086956521739131,False,False
auto_pharma_fmcg,AUTO + PHARMA + FMCG,top_5pct,0.05,23,0.6521739130434783,0.43943000639854146,0.871655167358136,2.4007451163139457,-2.7291118984153333,0.3884833796182284,2.468683720834362e-34,0.3278146635183742,0.2161993206382071,10,13,0.5475470344130262,0.3562630617720145,0.1912839726410117,18,5,0,PHARMA,13,4,0,19,0.2608695652173913,0.13043478260869565,0.6086956521739131,False,False
long_morning_midday_ex_banking_it,"Long-only, block afternoon, exclude BANKING and IT",top_10pct,0.1,19,0.47368421052631576,0.4155062639774054,-0.012651671620994266,1.8603740078156474,-4.819529031333903,0.2665702560760242,2.6602469685961817e-37,0.3429156331279067,0.27032500227840783,2,17,0.2261311745150768,0.4377856862670912,0.21165451175201438,19,0,0,PHARMA,19,15,4,0,0.42105263157894735,0.2631578947368421,0.3157894736842105,False,False
ex_banking_it,Exclude BANKING and IT,top_10pct,0.1,46,0.5652173913043478,0.4076119137555807,0.5968064418699817,1.912697573056209,-7.993596871507524,0.27969434463346937,7.571788997758061e-87,0.3058899068999005,0.20416790004422025,17,29,0.6241695401529516,0.2806643396605702,0.34350520049238137,41,5,1,PHARMA,34,9,4,33,0.30434782608695654,0.2391304347826087,0.45652173913043476,False,False
auto_pharma_fmcg,AUTO + PHARMA + FMCG,top_10pct,0.1,46,0.5652173913043478,0.4076119137555807,0.5968064418699817,1.912697573056209,-7.993596871507524,0.27969434463346937,7.571788997758061e-87,0.3058899068999005,0.20416790004422025,17,29,0.6241695401529516,0.2806643396605702,0.34350520049238137,41,5,1,PHARMA,34,9,4,33,0.30434782608695654,0.2391304347826087,0.45652173913043476,False,False
long_ex_banking_it,"Long-only, exclude BANKING and IT",top_5pct,0.05,22,0.6363636363636364,0.38998906393875815,0.6371055210588126,2.066873875445887,-4.220783025879061,0.3048332226280658,2.5495854897727417e-40,0.2868540286390718,0.1837189933393855,9,13,0.6062110666432868,0.24029690822023828,0.36591415842304853,22,0,0,PHARMA,16,5,0,17,0.2727272727272727,0.18181818181818182,0.5454545454545454,False,False
long_auto_pharma_fmcg,Long-only AUTO + PHARMA + FMCG,top_5pct,0.05,22,0.6363636363636364,0.38998906393875815,0.6371055210588126,2.066873875445887,-4.220783025879061,0.3048332226280658,2.5495854897727417e-40,0.2868540286390718,0.1837189933393855,9,13,0.6062110666432868,0.24029690822023828,0.36591415842304853,22,0,0,PHARMA,16,5,0,17,0.2727272727272727,0.18181818181818182,0.5454545454545454,False,False
midday_only,Entries in midday window only,top_10pct,0.1,3,0.6666666666666666,0.3807892289545123,0.1406833935922076,1.7227211516828178,-1.5806479223744796,0.18203461820284503,6.200709905449196e-06,0.27845598239101305,0.1761227358275139,1,2,-1.5806479223744796,1.3615078046190083,2.942155726993488,1,2,0,IT,2,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False
long_morning,Long-only morning,top_10pct,0.1,21,0.47619047619047616,0.3711557563419142,-0.012651671620994266,1.9195759369628458,-5.225055239986988,0.2854826102290722,8.290760720422469e-40,0.30824414529808875,0.24533253425426332,11,10,0.9099061618000988,-0.22146968966208877,1.1313758514621874,21,0,0,PHARMA,11,21,0,0,0.42857142857142855,0.19047619047619047,0.38095238095238093,False,False
long_morning_ex_banking_it,"Long-only morning, exclude BANKING and IT",top_10pct,0.1,17,0.47058823529411764,0.328673035803788,-0.012651671620994266,1.7234381577984137,-4.819529031333904,0.23526437561498903,1.103659046910061e-33,0.25611844421413754,0.18356385262448727,2,15,0.2261311745150768,0.3423452839756161,0.11621410946053928,17,0,0,PHARMA,17,17,0,0,0.4117647058823529,0.29411764705882354,0.29411764705882354,False,False
morning_only,Entries in morning window only,top_10pct,0.1,22,0.45454545454545453,0.29750123424905517,-0.2027631043265428,1.672997758284953,-5.225055239986988,0.22624357638965398,1.2214894800894084e-43,0.23358618440474005,0.16967113456042504,11,11,0.9099061618000988,-0.3149036933019884,1.2248098551020872,22,0,0,PHARMA,12,22,0,0,0.4090909090909091,0.22727272727272727,0.36363636363636365,False,False
