slice_id,family,slice_value,filter_expr,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,unique_sectors,unique_symbols,top_sector,top_sector_trades,top_symbol,top_symbol_trades,long_n,short_n,target_exit_rate,stop_exit_rate,time_exit_rate,avg_bars_held,mean_p_touch,mean_p_direction,mean_q,candidate,diagnostic_only,reject_reason
symbol:TVSMOTOR,symbol,TVSMOTOR,symbol == 'TVSMOTOR',3024,0.45436507936507936,0.031182189749832574,-0.0919218842068282,1.051445936515272,-84.76584028674944,0.02105725344127869,0.0,-0.10669354842309228,-0.24456928659601712,2556,468,0.14466528835891138,-0.5886101180382132,0.7332754063971245,1,1,AUTO,3024,TVSMOTOR,3024,3024,0,0.2857142857142857,0.35119047619047616,0.3630952380952381,11.818121693121693,0.8100637719609983,0.8041915518005299,0.42087121000760713,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; one_symbol; one_sector; first_half_only
volatility_x_distance:high_vol / 5-8,volatility_x_distance,high_vol / 5-8,vol_regime == 'high_vol' & distance_bucket == '5-8',612,0.4117647058823529,0.02806758705738004,-0.40651134201329064,1.0429390030070016,-93.32331516141471,0.018770484455955545,0.0,-0.06448162347862794,-0.15703083401463605,144,468,0.9081511023894452,-0.24272734073710153,1.1508784431265466,4,7,PHARMA,324,LUPIN,252,576,36,0.2875816993464052,0.4852941176470588,0.22712418300653595,12.86437908496732,0.7771254412949627,0.7761712584605088,0.43413119503327735,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
factor_x_distance:REJ / 5-8,factor_x_distance,REJ / 5-8,factor_enriched == 'REJ' & distance_bucket == '5-8',720,0.49583333333333335,0.020150212080698417,-0.021221935450510557,1.0369229275258804,-101.2345392402137,0.014263024243232352,0.0,-0.13798728543721925,-0.2961247829551369,288,432,0.2954606977917172,-0.1633901117266474,0.4588508095183646,4,11,AUTO,432,TVSMOTOR,216,648,72,0.125,0.30416666666666664,0.5708333333333333,13.820833333333333,0.8242721398534182,0.7151830892371123,0.3953602709192509,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
p_touch_tier:75-80,p_touch_tier,75-80,p_touch_tier == '75-80',12636,0.4735675846786958,0.006932074992189501,-0.1617254917992597,1.0108303522484126,-1181.416071285742,0.004629605995140317,0.0,-0.12619096374515051,-0.25931400248249054,5400,7236,0.3761292668172706,-0.26858821741458744,0.644717484231858,5,24,PHARMA,3960,DRREDDY,1512,11088,1548,0.28901551123773345,0.3771763216207661,0.33380816714150047,11.898939537828428,0.7654598963998914,0.7885231425150213,0.43008268952917283,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
symbol:TECHM,symbol,TECHM,symbol == 'TECHM',2448,0.48284313725490197,-0.012388301450894184,-0.12092870830708208,0.9801186061064658,-118.40053769967255,-0.008719828151379852,0.0,-0.12752494262774006,-0.24266158380458586,1260,1188,0.5455966696552695,-0.6041905435331892,1.1497872131884588,1,1,IT,2448,TECHM,2448,2376,72,0.2949346405228758,0.40808823529411764,0.29697712418300654,10.343545751633988,0.7948490408326019,0.7875204912028393,0.43333914546368246,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; one_symbol; one_sector; first_half_only
factor:EQHL,factor,EQHL,factor_enriched == 'EQHL',9360,0.46762820512820513,-0.015762128452502744,-0.29930977873635717,0.9764839481749762,-961.8060812620843,-0.010254764836901744,0.0,-0.1608846569502742,-0.3060071854480456,4248,5112,0.3469281776124226,-0.31715266447828583,0.6640808420907085,5,21,PHARMA,3636,LUPIN,1584,8532,828,0.28547008547008546,0.38279914529914527,0.3317307692307692,10.94775641025641,0.7978477662082751,0.7821087067765516,0.4427163337439269,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
tf_bucket:1,tf_bucket,1,tf_bucket == '1',1656,0.46557971014492755,-0.017106209411674404,-0.08986167894036284,0.9722177263233487,-560.3406598929803,-0.012184236608600657,0.0,-0.15090792365778224,-0.28470963790389003,684,972,0.21591399499526073,-0.18108339029062884,0.39699738528588957,5,14,AUTO,612,TVSMOTOR,216,1440,216,0.30132850241545894,0.3858695652173913,0.31280193236714976,10.908212560386474,0.8123652556825773,0.7656636877505906,0.4076118620434107,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
tf_count_bucket:1,tf_count_bucket,1,tf_count_bucket == '1',1656,0.46557971014492755,-0.017106209411674404,-0.08986167894036284,0.9722177263233487,-560.3406598929803,-0.012184236608600657,0.0,-0.15090792365778224,-0.28470963790389003,684,972,0.21591399499526073,-0.18108339029062884,0.39699738528588957,5,14,AUTO,612,TVSMOTOR,216,1440,216,0.30132850241545894,0.3858695652173913,0.31280193236714976,10.908212560386474,0.8123652556825773,0.7656636877505906,0.4076118620434107,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
symbol:BAJAJ-AUTO,symbol,BAJAJ-AUTO,symbol == 'BAJAJ-AUTO',1116,0.4507168458781362,-0.04344015901963132,-0.526056314531216,0.9348854468520457,-61.95994088841277,-0.029819418746715773,0.0,-0.15547068992258842,-0.26750122082554556,108,1008,-0.5580497142918,0.01169657904524389,0.5697462933370439,1,1,AUTO,1116,BAJAJ-AUTO,1116,1116,0,0.2517921146953405,0.37455197132616486,0.3736559139784946,13.798387096774194,0.8046141242586777,0.8428155404292212,0.42368748234188996,False,True,mean_R<=0.10; PF<=1.30; win<=50%; cost1.5x<=0; one_symbol; one_sector
time_x_distance:afternoon / 5-8,time_x_distance,afternoon / 5-8,time_bucket == 'afternoon' & distance_bucket == '5-8',8280,0.4714975845410628,-0.04708975059680956,-0.14773646830324852,0.9312654715077731,-839.9702733542418,-0.030255693028866684,0.0,-0.1954290321171668,-0.34376831363752414,4104,4176,0.24036280202331908,-0.32958622472348764,0.5699490267468067,5,22,AUTO,2880,DRREDDY,1440,7236,1044,0.16570048309178745,0.4043478260869565,0.42995169082125606,10.928260869565218,0.8060823195970296,0.7905491659820731,0.42886493442406315,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
